ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	regens	runtime_error	time_adjust	time_taken	total_inds	total_time	
0.5003112586422852	74.44	6.755	62.7	49.96	1.0	0	0	382	10	319	255	4	4	4	3	0	0	0	81.51277136802673	200	81.51277136802673	
0.6243707231410777	103.12	6.369230769230769	29.53846153846154	23.43076923076923	1.0	1	135	199	9.0	159.0	127.0	3	4.0	4.0	3.0	0	0	0	15.330125331878662	400	96.8428966999054	
0.8112723416131091	83.4	7.022222222222222	36.888888888888886	29.31111111111111	1.0	2	245	195	9.0	159.0	127.0	9	4.0	4.0	3.0	0	0	0	25.60143542289734	600	122.44433212280273	
0.8802633696572978	75.225	7.298076923076923	36.5	29.0	1.0	3	341	200	9.0	159.0	127.0	7	4.0	4.0	3.0	0	0	0	29.858830213546753	800	152.3031623363495	
0.8776993394665092	79.79	7.349056603773585	34.5188679245283	27.41509433962264	1.0	4	435	192	9.0	159.0	127.0	13	4.0	4.0	3.0	0	0	0	30.322669982910156	1000	182.62583231925964	
0.889646159458303	72.98	7.447619047619048	35.61904761904762	28.295238095238094	1.0	5	530	194	9.0	159.0	127.0	18	4.0	4.0	3.0	0	0	0	28.434470415115356	1200	211.060302734375	
0.899842822168381	72.225	7.384615384615385	37.41346153846154	29.73076923076923	1.0	6	626	197	9.0	159.0	127.0	21	4.0	4.0	3.0	0	0	0	28.89652681350708	1400	239.95682954788208	
0.9062192119898327	78.785	7.505154639175258	36.98969072164948	29.391752577319586	1.0	7	729	198	9.0	159.0	127.0	15	4.0	4.0	3.0	0	0	0	26.744563817977905	1600	266.70139336586	
0.8905742408237358	73.79	7.333333333333333	33.494949494949495	26.595959595959595	1.0	8	830	199	9.0	159.0	127.0	19	4.0	4.0	3.0	0	0	0	25.670799493789673	1800	292.37219285964966	
0.9122801526072372	66.31	7.480769230769231	36.59615384615385	29.076923076923077	1.0	9	926	190	9.0	159.0	127.0	16	4.0	4.0	3.0	0	0	0	31.18324112892151	2000	323.55543398857117	
0.9147990759463505	69.735	7.547008547008547	35.837606837606835	28.47008547008547	1.0	10	1009	196	9.0	159.0	127.0	19	4.0	4.0	3.0	0	0	0	36.25195789337158	2200	359.80739188194275	
0.9192882178722274	71.78	7.552083333333333	34.989583333333336	27.791666666666668	1.0	11	1113	196	9.0	159.0	127.0	17	5.0	9.0	7.0	0	0	0	29.651296615600586	2400	389.45868849754333	
0.913363491557126	76.0	7.5	33.51754385964912	26.614035087719298	1.0	12	1199	191	9.0	159.0	127.0	21	4.0	4.0	3.0	0	0	0	32.609020948410034	2600	422.06770944595337	
0.9164232711107327	83.24	7.474747474747475	33.292929292929294	26.434343434343436	1.0	13	1300	199	9.0	159.0	127.0	18	5.0	9.0	7.0	0	0	0	33.458924293518066	2800	455.52663373947144	
0.9381453484672895	87.02	7.553571428571429	34.357142857142854	27.285714285714285	1.0	14	1388	200	9.0	159.0	127.0	21	6.0	14.0	11.0	0	0	0	54.61904311180115	3000	510.1456768512726	
0.9244951614300737	87.34	7.536585365853658	33.75609756097561	26.804878048780488	1.0	15	1465	200	9.0	159.0	127.0	29	5.0	9.0	7.0	0	0	0	41.34234380722046	3200	551.488020658493	
0.9043002083568968	89.24	7.4495412844036695	34.91743119266055	27.73394495412844	1.0	16	1556	200	9.0	159.0	127.0	16	4.0	4.0	3.0	0	0	0	33.31367778778076	3400	584.8016984462738	
0.9223560740538904	92.1	7.4774774774774775	34.72072072072072	27.576576576576578	1.0	17	1645	200	9.0	159.0	127.0	16	4.0	4.0	3.0	0	0	0	29.738825798034668	3600	614.5405242443085	
0.957019334189069	87.39	7.546296296296297	35.06481481481482	27.85185185185185	1.0	18	1737	190	9.0	159.0	127.0	27	4.0	4.0	3.0	0	0	0	28.585517406463623	3800	643.1260416507721	
0.9086492068497242	83.115	7.478260869565218	33.130434782608695	26.304347826086957	1.0	19	1822	190	9.0	159.0	127.0	24	4.0	4.0	3.0	0	0	0	48.66941285133362	4000	691.7954545021057	
0.9219032602197702	94.74	7.5	35.01851851851852	27.814814814814813	1.0	20	1914	190	9.0	159.0	127.0	24	4.0	4.0	3.0	0	0	0	28.613960027694702	4200	720.4094145298004	
0.9219032602197702	94.74	7.5	35.01851851851852	27.814814814814813	1.0	20	1914	190	9.0	159.0	127.0	24	4.0	4.0	3.0	0	0	0	28.613960027694702	4200	720.4094145298004	
